Cleo Coyle	On What Grounds	6.99	3.50	1.75		Berkley	September 2, 2003	2	0	0		English	042519213X	978-0425192139	paperback	288	The perfect cup of coffee is a mystifying thing. To many of my customers, the entire process seems like some sort of alchemy they dare not try at home.... Ten years ago, Clare Cosi left an unhappy marriage along with a job she loved: managing the historic Village Blend coffeehouse in New York\'s Greenwich Village. For a decade, she was happy raising her daughter in the quiet suburbs of New Jersey; but now that Joy is grown and gone, life has gotten way too quiet for Clare. With a little cajoling from Madame, the Blend\'s flamboyant, elderly owner, Clare agrees to return to her old job, and right from the start she gets one heck of a jolt. On her first morning back as Village Blend manager, Clare unlocks the front door to find her beautiful, young assistant manager unconscious in the back of the store, coffee grounds strewn everywhere. As Anabelle is rushed to the hospital, police arrive to investigate, but Detective Mike Quinn finds no sign of forced entry or foul play, and he deems it an accident. Clare disagrees; and after Quinn leaves, there are a few questions she just can\'t get out of her mind, like why was the trash bin in the wrong place?  If this wasn\'t an accident, are her other baristas in danger? And are all NYPD detectives this attractive?	Coffeehouse Mysteries, No. 1	Mystery	''
Donald J. Sobol	Two-minute Mysteries	5.99	3.00	1.50		Scholastic Paperbacks	November 1, 1991	11	0	1		English	0590447874	978-0590447874	paperback	160	Whether testing their own sleuthing abilities by working against the clock or enjoying the intrigue of unraveling each case, readers will delight in the spine-tingling puzzlers in each of these short but thrilling mysteries.	Apple Paperbacks	Mystery	''
Kristiana Gregory	Clue At The Bottom Of The Lake	4.99	2.50	1.25		Scholastic	March 1, 2008	12	6	2		English	0439929512	978-0439929516	paperback	176	Action! Intrigue! Cliffhangers!	Cabin Creek Mysteries	Mystery	''
George Pelecanos (Editor), Otto Penzler (Editor)	The Best American Mystery Stories 2008	5.50	2.75	1.38		Mariner Books	October 8, 2008	2	0	0		English	0618812679		paperback	448	A must-read for anyone who cares about crime stories.Booklist	''	Mystery	''
Laura Childs	The English Breakfast Murder	7.99	4.00	2.00		Berkley	August 5, 2003	0	0	0		English	042519129X	978-0425191293	paperback	288	It is a truly exhilarating experience for Indigo Tea Shop owner Theodosia Browning-helping Charleston\'s Sea Turtle Protection League shepherd hundreds of tiny green loggerheads safely into the sea. But just as she\'s about to celebrate all her hard work, she spots a dead body bobbing in the waves. Now it\'s up to Theo to get to the bottom of the murder before the culprit\'s greed stirs him to kill again.	A Tea Shop Mystery	Mystery	''
Cleo Coyle	Through the Grinder	6.99	3.50	1.75		Berkley	October 5, 2004	8	2	1		English	042519714X	978-0425197141	paperback	288	Business is booming at Clare Cosi\'s Village Blend, until her female customers start to die. Lieutenant Quinn is convinced that someone has an axe to grind, and, unfortunately, his prime suspect is the new man in Clare\'s life.	Coffeehouse Mysteries, No. 2	Mystery	''
Ron Roy , John Steven Gurney (Illustrator)	The White Wolf	3.99	2.00	1.00		Random House Books for Young Readers	November 23, 2004	5	0	3		English	0375824804	978-0375824807	paperback	96	W is for Wolf. . . .	TM	Mystery	''
Cleo Coyle	Murder Most Frothy	6.99	3.50	1.75		Berkley	August 1, 2006	8	2	1		English	0425211134	978-0425211137	paperback	272	\"A bright new light in the mystery horizon,\"(The Best Reviews) Cleo Coyle returns with a mystery full of fraud, fun, and froth. New Yorker Clare Cosi manages a coffee shop, but this summer she\'ll leave it behind as she heads for the Hamptons-and perhaps the biggest jolt of her life... Clare Cosi\'s new friend, millionaire David Mintzer, has an offer no New York barista could turn down: an all-expenses-paid summer away from the sticky city. At his Hamptons mansion, she\'ll relax, soak up the sun, and, oh yes, train the staff of his new restaurant. So Clare packs up her daughter, her former mother-in-law, and her special recipe for iced coffee-for what she hopes will be one de-latte-ful summer... Soon, Clare tends the coffee bar at her first Hamptons gala. But the festivities come to a bitter end when an employee turns up dead in David\'s bathroom-a botched attempt on the millionaire\'s life. Thanks to the Fourth of July fireworks no one heard any gunshots, and the police are stuck in holiday traffic. Concerned for everyone\'s safety, Clare begins to investigate.  What she finds will keep her up at night-and it\'s not the java jitters...\" --This text refers to the Kindle Edition edition.	Coffeehouse Mysteries, No. 4	Mystery	''
Lawrence Treat , Kathleen Borowik (Illustrator)	You're the Detective!: Twenty-Four Solve-Them-Yourself Picture Mysteries	8.95	4.47	2.24		David R Godine	September 1, 2004	10	4	0		English	0879234784	978-0879234782	paperback	77	With applause for Crime and Puzzlement 1 and 2 still ringing in his ears, Lawrence Treat has conjured up yet another devilishly delightful collection of picture mysteries - this time for young readers.	''	Mystery	''
Neil Strauss	Rules of the Game	17.13	12.85	8.56	4.28	Harper Paperbacks	December 18, 2007	4	2	0	0	English	0061540455	978-0061540455	hardcover	352	If you want to play the Game, you\'ve got to know the Rules.  In his international bestseller The Game, Neil Strauss delved into the secret world of pick-up artists--men who have created a science out of the art of seduction.  Not only did he reveal the techniques that they had developed, but he became a master of The Game, and the world\'s No. 1 PUA, as Style.  Now, in his first follow-up to The Game, comes an extraordinary package: A lavishly produced, two-volume pocket-size set that every pickup artist--accomplished or aspiring--will need to have. The first book, The Stylelife Challenge, is the manual Strauss thought he\'d never write: the ultimate guide to landing the woman of your dreams. Bound in white leatherette, it offers an in-depth 30-day program, Strauss challenges readers to confront their insecurities and overcome them through a process of rigorous self-examination, briefings and field missions.  In the second book, Strauss takes readers into the dark side of The Game. Bound in black leatherette, The Style Diaries offers a series of tales of seduction and sexual (mis)adventure. From accidentally getting married during a drunken night in Reykjavik, to luring a famous musician\'s granddaughter into a threesome; from conducting a keenly felt and tender relationship over email, to the stress and frustration of the torturous and highly unorthodox \"30 Day Sex Experiment,\" The Style Diaries takes you further into the seduction underworld than ever before, and delves where The Game never dared to tread: into the even more complicated rules of relationships.	''	Mystery	''
Cleo Coyle	French Pressed	6.99	3.50	1.75		Berkley	April 1, 2008	5	3	0		English	0425220494	978-0425220498	paperback	288	Murder takes the plunge in the sixth book in the Coffeehouse mystery series.	Coffeehouse Mysteries, No. 6	Mystery	''
Logan Edwards	Secrets of the A Game: How to Meet and Attract Women Anywhere, Anyplace, Anytime	13.57	6.79	3.39		Sweetleaf Publishing Inc	November 1, 2008	1	0	0		English	0977650510	978-0977650514	paperback	411	A Master Pick-Up Artist reveals the new Secrets of Seduction Are you tired of going to bars and clubs to meet women and ending up sitting alone?  Do you see attractive women you want to meet, but talk yourself out of approaching? Do you get nervous and forget what to say or say stupid things when you meet women?  Imagine being the kind of guy that women are drawn to, who make them smile and laugh with ease. Imagine building rapport with a group of women so you can easily walk away with one of their friends. Imagine creating enough comfort and trust with a woman to get her phone number, make out, and take her home, all in the same night.  In Secrets of The A Game, youll learn that every shy, self-conscious, or heartbroken guy can meet and attract beautiful women, no matter what you look like or how much money you make. The A Game provides you with all of the tools you need to make it happen. If you want to learn the secrets of sexual persuasion so you can approach anyone, build rapport and create instant attraction, The A Game was written for you.  The A Game will Explode the myths that hold you back from meeting beautiful women.	''	Mystery	''
Brett Tate	The Professional Bachelor Dating Guide - How to Exploit Her Inner Psycho	14.07	7.04	3.52		Cambridge Publishing, LLC	January 1, 2007	10	5	0		English	0975264028	978-0975264027	paperback	304	Pickup Artists\' Psychological Secrets to Turn on, Charm, and Seduce almost any Woman.  The Art of the Pickup involves analyzing your target, determine her alues, beliefs and weaknesses, and role-playing her desires.	''	Mystery	''
Gregg Braden	The Mystery of 2012: Predictions, Prophecies and Possibilities	11.53	5.76	2.88		Sounds True, Incorporated; illustrated edition edition	January 1, 2009	14	0	2		English	1591796741	978-1591796749	paperback	496	It began with the Mayan calendar--a startling astrological artifact that reaches its end point in the year 2012. As major spiritual traditions, independent researchers, and archaeological findings all point toward this date as a critical moment in human history, readers everywhere are starting to ask the same question: What will happen in 2012? For the first time, the leading authorities on the 2012 phenomenon are all given oice in a single book, now available in paperback: The Mystery of 2012. An invaluable resource for readers who want to learn more about this time of change, this fascinating book features essays from dozens of prominent thinkers, including: * Gregg Braden\'s examination of the scientific evidence for a shift in the earth\'s magnetic field--and how it will affect all life * Barbara Marx Hubbard\'s and Peter Russell\'s explorations of the \"accelerating pace of evolution\"--why we may literally be transforming into a new species * John Major Jenkins\' journey to the source for answers: the original Mayan calendar * Ecologist Joanna Macy\'s ision of \"the Great Turning,\" and how we can take part in this shift to a life-sustaining culture * Daniel Pinchbeck on the meaning behind the rise in psychic phenomena as we approach 2012. Are we coming to the end of a cosmic cycle? Will there be an age of awakening, a new step in human evolution, or even an end to the world we know? For the growing audience of the \"2012-curious,\" here is a thought-provoking and comprehensive exploration into the possibilities of this pivotal time.	''	Mystery	''
Michael Chabon	The Mysteries of Pittsburgh: A Novel	8.00	4.00	2.00		Harper Perennial	September 30, 2008	13	6	4		English	006168757X	978-0061687570	paperback	336	By the Pulitzer Prize-winning author of The Amazing Adventures of Kavalier & ClayThis P.S. edition features an extra 16 pages of insights into the book, including author interviews, recommended reading, and more.	''	Mystery	''
Charlaine Harris	Dead Until Dark	7.99	4.00	2.00		Ace	September 3, 2008	6	2	1		English	0441016995	978-0441016990	paperback	304	Sookie Stackhouse is just a small-time cocktail waitress in small-town Louisiana. Until the ampire of her dreams walks into her life-and one of her coworkers checks out....	Southern Vampire Mysteries, No. 1	Mystery	''
Laura Childs	The Silver Needle Murder: A Tea Shop Mystery	7.99	4.00	2.00		Berkley	March 3, 2009	10	5	1		English	042522676X	978-0425226766	paperback	304	When the Charleston Film Festival opens with a bang--the real-life murder of a famous director--Indigo Tea Shop owner Theodosia Browning is pulled into an investigation as perilous as any big-screen thriller.	''	Mystery	''
Eric Yoder	One Minute Mysteries: 65 Short Mysteries You Solve With Science!	9.95	4.97	2.49		Science Naturally!	September 25, 2008	3	0	0		English	0967802016	978-0967802015	paperback	160	Not an ordinary mystery book, One Minute Mysteries makes science fun! Each one-minute mystery (solutions included) exercises critical thinking skills while covering earth, space, life, physical, chemical, and general science. A bonus section includes five mysteries from our upcoming title in the series, One Minute Mysteries: Solve \'em with Math! This entertaining and educational book is great for kids, grown-ups, schools, educators, homeschoolers and anyone who loves good mysteries, good science, or both!	''	Mystery	''
G.M. Malliet	Death of a Cozy Writer: A St. Just Mystery	10.94	5.47	2.73		MIDNIGHT INK	July 1, 2008	10	0	0		English	0738712485	978-0738712482	paperback	312	From deep in the heart of his eighteenth century English manor, millionaire Sir Adrian Beauclerk-Fisk writes mystery novels and torments his four spoiled children with threats of disinheritance. Tiring of this device, the portly patriarch decides to weave a malicious twist into his well-worn plot.  Gathering them all together for a family dinner, he announces his latest blow  a secret elopement with the beautiful Violet... who was once suspected of murdering her husband.	''	Mystery	''
Fr. Charles Arminjon , Susan Conroy , Peter McEnerny	End of the Present World and the Mysteries of the Future Life	12.21	6.11	3.05		Sophia Institute Press	January 26, 2009	7	1	0		English	1933184388	978-1933184388	paperback	336	Reading this book was one of the	''	Mystery	''
Alice Kimberly	The Ghost and the Haunted Mansion	7.99	4.00	2.00		Berkley	January 6, 2009	15	5	0		English	0425224600	978-0425224601	paperback	304	Rhode Island bookshop owner Penelope McClure never believed in ghosts -- until she met the spirit of Jack Shepard, a big city private investigator who was gunned down in her store over sixty years ago. Now Penelope not only believes in her hard-boiled ghost, she asks for his help in solving a murder.  A loyal customer of Penelope\'s bookshop has been found dead on posh Larchmont Avenue. The elderly woman left a will that was recently (and suspiciously) revised to name her mailman, Seymour Tarnish, the sole heir to her estate. Many eyes in the little town turn to the hapless mailman as the murderer, including the town\'s police chief, but Seymour doesn\'t care. He\'s too busy settling into his posh new digs. Unfortunately, Seymour\'s new mansion also appears to be haunted and when the mansion\'s ghosts begin plaguing him, he hires a team of parapsychologists to exorcise every last spirit from the entire town.  Now Penelope must not only solve a murder, and prove her friend Seymour innocent, she must act fast to save her beloved ghost; because if these \"spirit zappers\" actually do their job, then the ghost of Jack Shepard finally will be history. And that scares Pen a lot more than rattling chains and cold spots.	Haunted Bookshop Mysteries, No. 5	Mystery	''
Mike Mason	The Mystery of Marriage 20th Anniversary Edition: Meditations on the Miracle	11.19	5.59	2.80		Multnomah Books; 20 Anv edition	June 2, 2005	9	2	0		English	1590523741	978-1590523742	paperback	224	Meditate on the Spiritual Significance of Marriage	''	Mystery	''
Krista Davis	The Diva Runs Out of Thyme	6.99	3.50	1.75		Berkley	October 7, 2008	4	0	2		English	0425224260	978-0425224267	paperback	304	Gracious living can be murder. First in an all-new mystery series-- includes delicious recipes and great tips on entertaining!Few can compete with Natasha Smith when it comes to entertaining, but her childhood rival, Sophie Winston, certainly tries. Natasha may have stolen the spotlight--and Sophie\'s husband--but Sophie is determined to rob her of the prize for the Stupendous Stuffing Shakedown. She just needs the right ingredient. But Sophie\'s search for the perfect turkey takes a basting when she stumbles across a corpse. And when the police find her name and photo inside the ictim\'s car, Sophie will have to set her trussing aside to solve the murder--or she\'ll be serving up prison grub.	A Domestic Diva Mystery	Mystery	''
Alice Kimberly	The Ghost and Mrs. McClure	6.99	3.50	1.75		Berkley	February 3, 2004	11	6	1		English	0425194612	978-0425194614	paperback	272	Penelope Thornton-McClure manages a Rhode Island bookshop rumored to be haunted. When a bestselling author drops dead signing books, the first clue of foul play comes from the store\'s full-time ghost-a PI murdered on the ery spot more than fifty years ago.	Haunted Bookshop Mystery	Mystery	''
Kate Collins	Evil in Carnations	6.99	3.50	1.75		Signet	February 3, 2009	9	6	1		English	0451226232	978-0451226235	paperback	336	The dating scene can be a killer...Determined to help her roommate Nikki out of her singles slump, Abby Knight encourages her to give speed dating a try. Of course, Nikki wants the guy at the ery bottom of Abby\'s list, Jonas Treat--a.k.a. \"Treat the Cheat\"--and figures just one date with him couldn\'t hurt. But then Jonas is found dead--and evidence points to Nikki as his killer.  To clear Nikki\'s name, Abby enlists the help of her hunky ex-Army Ranger boyfriend, Marco. But Marco\'s rambunctious extended family turns Abby\'s hectic life into a disaster zone. With her patience seriously wilting, and a killer on the loose, Abby is determined to dig herself out of this mess--before someone buries her instead...	Flower Shop Mysteries, No. 8	Mystery	''
Linda Lacour Hobar	Mystery of History Vol 1	32.97	16.48	8.24		Bright Ideas Press; 1st edition	July 2, 2007	2	1	0		English	1892427044	978-1892427045	paperback	496	This is everything you need for teaching Ancient Civilizations through the time of Christ, all in one book. Chronological, Classical, Complete.  This is a truly unique and remarkable new product! Written for 4th - 8th graders but adaptable for the whole family.	''	Mystery	''
Murray Rothbard	The Mystery of Banking	20.00	15.00	10.00	5.00	Ludwig von Mises Institute	September 10, 2008	3	0	0	0	English	1933550287	978-1933550282	hardcover	298	Talk about great timing. Rothbard\'s extraordinary book unravels the mystery of banking: what is legitimate enterprise and what is a government-backed shell game that can\'t last. His explanation is clear enough for anyone to follow and yet precise and rigorous enough to be the best, textbook for college classes on the topic. This is because its expositional clarity--in its hitosry and theory--is essentially unrivaled.  Most notably, he uses the T account method of explaining the relationship between deposits and loans, showing the inherent instability of fractional reserve banking and how it sets the stage for centralization, inflation, and the boost-bust cycle.  But there is more here. It is an explanation of money\'s origins and its meaning in the free market. The abstract theory is here but always with real application in history and in modern banking practice. Never does a paragraph go by without an example drawn from his massive knowledge of the subject. Even further, he explains the integration between microeconomics and the business cycle. As Douglas French writes in the introduction: Although first published 25 years ago, Murray Rothbard s The Mystery of Banking continues to be the only book that clearly and concisely explains the modern fractional reserve banking system, its origins, and its devastating effects on the lives of every man, woman, and child. It is especially appropriate in a year that will see; a surge in bank failures, central banks around the globe bailing out failed commercial and investment banks, double-digit inflation rates in many parts of the world and hyperinflation completely destroying Zimbabwe s economy, that a new edition of Rothbard s classic work be republished and made available through the efforts of Lew Rockwell and the staff at the Ludwig on Mises Institute. Priced affordably for students and laymen interested in the agaries of banking and how inflation and business cycles are created. Further, Joseph Salerno explains in the Foreword: The Mystery of Banking is perhaps the least appreciated work among Murray Rothbard s prodigious body of output. This is a shame because it is a model of how to apply sound economic theory, dispassionately and objectively, to the origins and development of real-world institutions and to assess their consequences. It is institutional economics at its best. In this book, the institution under scrutiny is central banking as historically embodied in the Federal Reserve System the Fed for short the central bank of the United States. Rothbard s presentation of the basic principles of money-and-banking theory in the first eleven chapters of the book guides the reader in unraveling the mystery of how the central bank operates to create money through the fractional-reserve banking system and how this leads to inflation of the money supply and a rise in overall prices in the economy. But he does not stop there. In the subsequent five chapters he resolves the historical mystery of how an inherently inflationary institution like central banking, which is destructive of the alue of money and, in the extreme case of hyperinflation, of money itself, came into being and was accepted as essential to the operation of the market economy. Incredibly, both authors correctly anticipate the current crisis -- and Rothbard explains it all and shows the way out. This is certainly the book for today, more essential than ever before.	''	Mystery	''
Ron Roy , Liza Woodruff (Illustrator)	Capital Mysteries #2: Kidnapped at the Capital	3.99	2.00	1.00		Random House Books for Young Readers	April 9, 2002	7	1	2		English	0307265145	978-0307265142	paperback	80	KC and Marshall are going to the Cherry Blossom Festival. They have an invitation from the President of the United States! But while they are off getting ice cream, KCs mom and President Thornton are kidnappedright under the bodyguards noses. Who cares if the FBI is on the case? KC isnt giving up until she finds her mom!	TM	Mystery	''
Ron Roy , Timothy Bush (Illustrator)	Capital Mysteries #8: Mystery at the Washington Monument	3.99	2.00	1.00		Random House Books for Young Readers	May 22, 2007	8	3	1		English	0375839704	978-0375839702	paperback	96	Late at night KC and Marshall are sleeping out on the White House lawn when they see suspicious lights flickering at the top of the Washington Monument. If that\'s not strange enough, the next day a monkey is found inside the building! KC and Marshall set off on a wild adventure to solve a 100-year-old mystery that involves a jewel thief, long-lost diamonds, and one of Washington\'s most famous and historic landmarks.	TM	Mystery	''
Ron Roy , Liza Woodruff (Illustrator)	Capital Mysteries #1: Who Cloned the President?	3.99	2.00	1.00		Random House Books for Young Readers	April 2, 2001	2	1	0		English	0307265102	978-0307265104	paperback	80	KC discovers that the President of the United States has been replaced by a clone and sets out with her friend Marshall on a dangerous mission to set things right.	TM	Mystery	''
Ron Roy , John Steven Gurney (Illustrator)	The Absent Author	3.99	2.00	1.00		Random House Books for Young Readers	September 23, 1997	9	4	0		English	0679881689	978-0679881681	paperback	96	A is for author.... Dink writes to his favorite author, mystery writer	A to Z Mysteries	Mystery	''
Maggie Sefton	Knit One, Kill Two	6.99	3.50	1.75		Berkley Book	June 7, 2005	3	2	0		English	042520359X	978-0425203590	paperback	277	Kelly Flynn never picked up a pair of knitting needles she liked--until she strolled into House of Lambspun. Now, in the first in a brand-new series, she learns how to knit one, purl two, and untangle the mystery behind her aunt\'s murder.	Knitting Mysteries, No. 1	Mystery	''
Laura Childs	Dragonwell Dead: A Tea Shop Mystery	7.99	4.00	2.00		Berkley	March 4, 2008	14	0	2		English	0425220451	978-0425220450	paperback	304	Although Theodosia Browning barely knows a Phalinopsis from a Bog Rose, she still enjoys Charleston\'s Spring Plantation Ramble, especially since she can promote her Indigo Tea Shop and her latest concoction, Dragonwell Sweet Tea. But the party\'s over when Mark Congdon wins a bid for a rare orchid-and promptly dies. It looks like a simple heart attack, but Theo suspects that someone purposely turned his green thumb blue.	''	Mystery	''
Alice Kimberly	The Ghost and the Dead Man\'s Library	6.99	3.50	1.75		Berkley	September 5, 2006	12	2	0		English	0425212653	978-0425212653	paperback	272	Bookshop owner Penelope Thornton-McClure has just received a rare collection of Poe\'s complete works. Rumor has it a secret code, trapped within the pages, leads to buried treasure. But it seems everyone who buys...dies. Now Pen will need resident ghost P.I. Jack Shepard to help crack the case.	Haunted Bookshop Mystery	Mystery	''
Alice Kimberly	The Ghost and the Femme Fatale	6.99	3.50	1.75		Berkley	May 6, 2008	3	0	0		English	0425218384	978-0425218389	paperback	235	Haunted by her past...The Movie Town Theater is holding its first ever Film Noir Festival, with Penelope Thornton-McClure handling book sales for the guest speakers, including screen actress Hedda Geist. The legendary femme fatale has been out of the spotlight for decades. Unfortunately, the moment she steps back into it, she\'s nearly killed. Then other guests start to die, and Penelope wants to know why her little town\'s film noir weekend has taken a truly dark turn.  With local police on the wrong track, Penelope enlists the help of Jack Shepard, PI. Okay, so Jack hasn\'t had a heartbeat since 1949, when he was gunned down in what is now Pen\'s store. But the hard-boiled ghost actually remembers Hedda\'s dark past and Penelope is sure he can help solve this case--even if he and his license did expire more than fifty years ago.	Haunted Bookshop Mysteries, No. 4	Mystery	''
Terri Thayer	Wild Goose Chase: A Quilting Mystery	10.94	5.47	2.73		MIDNIGHT INK	February 1, 2008	7	1	2		English	0738712159	978-0738712154	paperback	312	A computer techie by trade, Dewey Pellicano would rather swallow needles than be pinned down to a life of quilting. But when her mother passes away, Dewey must exchange code for calico as the new proprietress of Quilter Paradiso.  Between learning the business and dealing with a conniving employee who is also her sister-in-law, Dewey is ready to snap. During a national quilt show, quilting celebrity Claire Armstrong offers to buy the shop. But before Dewey can accept, she finds the famous quilter lying dead on the floora bloody rotary cutter at her side.  When hunky homicide detective Buster Healy enters the scene, romance flourishes... until another murder takes place. Can Dewey thread together the pieces to this murderous pattern before the killer strikes again?  Wild Goose Chase is the first book in the Quilting Mystery series featuring amateur sleuth Dewey Pellicano.	''	Mystery	''
Ron Roy , John Steven Gurney (Illustrator)	The Talking T. Rex	3.99	2.00	1.00		Random House Books for Young Readers	June 24, 2003	2	0	0		English	0375813691	978-0375813696	paperback	96	Meet Tyrone the Tyrannosaurus, Green Lawns newestand biggest!visitor. The kids old friend Jud Wheat is in town, and hes raising funds for a dinosaur museum by taking the T. rex on tour. But after the show in Green	A to Z Mysteries	Mystery	''
Kristiana Gregory	Blizzard On Blue Mountain	4.99	2.50	1.25		Scholastic Paperbacks	February 1, 2009	11	0	0		English	0545003792	978-0545003797	paperback	160	In Cabin Creek, winter means sledding, ice skating, snow boarding -- and a broken ski lift? A blizzard has blown into town and tourists are filling up the lodge to hit the slopes, which means there are all the more suspects in the cousins\' latest case. Jeff, David, and Claire can\'t wait to get to the bottom of this frosty puzzle.  Each of the six books in this series features atmospheric spot art throughout.	Cabin Creek Mysteries	Mystery	''
Ron Roy , Timothy Bush (Illustrator)	Capital Mysteries #5: Who Broke Lincoln\'s Thumb?	3.99	2.00	1.00		Random House Books for Young Readers	December 27, 2005	1	0	0		English	0375825584	978-0375825583	paperback	96	Its party time in Washington, D.C.! The president is planning a celebration at the Lincoln Memorial in honor of the man who sculpted the famous statue of Lincoln. But KC and Marshall notice one small problemthe left thumb has broken off the statue! Has someone stolen Lincolns thumb? Can KC and Marshall find it before the celebration begins?	TM	Mystery	''
Matt Wagner , Steven T. Seagle (Illustrator), Guy Davis (Illustrator)	Sandman Mystery Theatre	13.59	6.79	3.40		Vertigo	March 17, 2009	7	1	2		English	1401221394	978-1401221393	paperback	200	In this series of noir detective tales of intrigue, bigotry and incest, millionaire Wesley Dodds takes on the costumed persona of the Sandman in 1930s New York donning a gas mask, fedora, suit and cloak to fight the forces of evil.	Book 7	Mystery	''
Ron Roy , John Steven Gurney (Illustrator)	The Haunted Hotel	3.99	2.00	1.00		Random House Books for Young Readers	June 15, 1999	1	0	0		English	0679890793	978-0679890799	paperback	87	A ghostly guest has checked into the Shangri-la Hotel! It\'s almost Halloween and reports of strange sounds and even stranger sights are coming from Green Lawn\'s only hotel. Hotel guests and neighbors are being scared away, and it\'s up to Dink, Josh, and Ruth Rose to figure out what\'s going on--before Green Lawn turns into a ghost town!	A to Z Mysteries	Mystery	''
Ron Roy , John Steven Gurney (Illustrator)	The Bald Bandit	3.99	2.00	1.00		Random House Books for Young Readers	September 23, 1997	3	0	0		English	0679884491	978-0679884491	paperback	71	B is for Bandit... The Green Lawn Savings Bank has been robbed!  When a	A to Z Mysteries	Mystery	''
Cathy Elliott	A Vase of Mistaken Identity	9.59	4.79	2.40		Kregel Publications; 1st edition	April 18, 2006	4	0	3		English	0825425379	978-0825425370	paperback	256	When Thea James discovers a puzzling list inside a intage ase, she finds four names on the list . . . including her own! Follow this small-town antique dealer as she becomes a relentless detective on the trail of a killer in this page-turner mystery. Guaranteed fiction! (20061020)	Thea James Mystery Series, Book 1	Mystery	''
Ron Roy , Timothy Bush (Illustrator)	Capital Mysteries #9: A Thief at the National Zoo	3.99	2.00	1.00		Random House Books for Young Readers	December 26, 2007	11	0	1		English	0375848045	978-0375848049	paperback	96	KC and Marshall are helping out with the baby tigers at the National Zoo when they meet a new friend, Sunwoo from China. Sunwoos father is lending the zoo a precious jewel called the Tigers Eye to raise money for endangered tigers. But during the zoos big party, the lights suddenly go out.  And when theyre turned back on, the jewel is missing! Who stole the Tigers Eye?  And how did someone sneak it out of a room with no windows and a guarded door?	TM	Mystery	''
Laura Childs	Oolong Dead: A Tea Shop Mystery	16.47	12.35	8.23	4.12	Berkley Hardcover	March 3, 2009	1	0	0	0	English	0425225992	978-0425225998	hardcover	336	Delicious recipes, tea-time tips, opera, and murder--in a national bestselling mystery series that\'s \"quickly become a favorite of readers.\"(Mystery Reader) While riding her horse in a race through the South Carolina Lowcountry, Theodosia Browning finds her arch nemesis, Abby Davis, dead. What\'s more, the ictim\'s brother is Theodosia\'s old flame. Who\'d have guessed they\'d be reunited through cold-blooded murder? Theodosia\'s investigation takes her from the Lowcountry thicket to the backstage maze of a darkened theater where a maestro of murder waits for the next cue. All proving that when it comes to high drama, Theodosia can give Verdi a run for his money.	''	Mystery	''
Marcia Miller , Martin Lee	40 Fabulous Math Mysteries Kids Can\'t Resist	10.36	5.18	2.59		Teaching Resources	October 1, 2001	2	1	0		English	0439175402	978-0439175401	paperback	112	Fun-Filled Reproducible Mystery Stories That Build Essential Math Problem-Solving SkillsMake Math Fun!Building serious math skills has never been so much fun!	Grades 4-8	Mystery	''
Cleo Coyle	Latte Trouble	6.99	3.50	1.75		Berkley	August 2, 2005	2	0	0		English	0425204456	978-0425204450	paperback	256	When one of her baristas unwittingly serves a poisonous latte to a prominent figure on the fashion scene, Clare Cosi must uncover some jolting secrets to save her shop.	Coffeehouse Mysteries, No. 3	Mystery	''
